!date	time	sPPOMW_konc_mg_l	sPDOMW_konc_mg_l	sPO4W_konc_mg_l	sNPOMW_konc_mg_l	sNDOMW_konc_mg_l	sNO3W_konc_mg_l	sNH4W_konc_mg_l
2006-01-01	12:00:00	0.05950851	0.01988617	0.004529211	0.48362495	0.120903475	0.264326426	0.103532407
2006-10-26	12:00:00	0.05950851	0.01988617	0.004529211	0.48362495	0.120903475	0.264326426	0.103532407
2006-10-27	12:00:00	0.071588438	0.023879185	0.00312695	1.086390306	0.271591813	0.085930716	0.244856992
2006-10-28	12:00:00	0.071588438	0.023879185	0.00312695	1.086390306	0.271591813	0.085930716	0.244856992
2006-10-29	12:00:00	0.071588438	0.023879185	0.00312695	1.086390306	0.271591813	0.085930716	0.244856992
2006-10-30	12:00:00	0.071588438	0.023879185	0.00312695	1.086390306	0.271591813	0.085930716	0.244856992
2006-10-31	12:00:00	0.071588438	0.023879185	0.00312695	1.086390306	0.271591813	0.085930716	0.244856992
2006-11-01	12:00:00	0.071588438	0.023879185	0.00312695	1.086390306	0.271591813	0.085930716	0.244856992
2006-11-02	12:00:00	0.071588438	0.023879185	0.00312695	1.086390306	0.271591813	0.085930716	0.244856992
2006-11-03	12:00:00	0.071588438	0.023879185	0.00312695	1.086390306	0.271591813	0.085930716	0.244856992
2006-11-04	12:00:00	0.071588438	0.023879185	0.00312695	1.086390306	0.271591813	0.085930716	0.244856992
2006-11-05	12:00:00	0.071588438	0.023879185	0.00312695	1.086390306	0.271591813	0.085930716	0.244856992
2006-11-06	12:00:00	0.071588438	0.023879185	0.00312695	1.086390306	0.271591813	0.085930716	0.244856992
2006-11-07	12:00:00	0.071588438	0.023879185	0.00312695	1.086390306	0.271591813	0.085930716	0.244856992
2006-11-08	12:00:00	0.071588438	0.023879185	0.00312695	1.086390306	0.271591813	0.085930716	0.244856992
2006-11-09	12:00:00	0.071588438	0.023879185	0.00312695	1.086390306	0.271591813	0.085930716	0.244856992
2006-11-10	12:00:00	0.071588438	0.023879185	0.00312695	1.086390306	0.271591813	0.085930716	0.244856992
2006-11-11	12:00:00	0.071588438	0.023879185	0.00312695	1.086390306	0.271591813	0.085930716	0.244856992
2006-11-12	12:00:00	0.071588438	0.023879185	0.00312695	1.086390306	0.271591813	0.085930716	0.244856992
2006-11-13	12:00:00	0.071588438	0.023879185	0.00312695	1.086390306	0.271591813	0.085930716	0.244856992
2006-11-14	12:00:00	0.071588438	0.023879185	0.00312695	1.086390306	0.271591813	0.085930716	0.244856992
2006-11-15	12:00:00	0.071588438	0.023879185	0.00312695	1.086390306	0.271591813	0.085930716	0.244856992
2006-11-16	12:00:00	0.060617695	0.02022295	0.002841079	0.277102122	0.06922553	0.19695535	0.628935577
2006-11-17	12:00:00	0.060617695	0.02022295	0.002841079	0.277102122	0.06922553	0.19695535	0.628935577
2006-11-18	12:00:00	0.060617695	0.02022295	0.002841079	0.277102122	0.06922553	0.19695535	0.628935577
2006-11-19	12:00:00	0.060617695	0.02022295	0.002841079	0.277102122	0.06922553	0.19695535	0.628935577
2006-11-20	12:00:00	0.060617695	0.02022295	0.002841079	0.277102122	0.06922553	0.19695535	0.628935577
2006-11-21	12:00:00	0.060617695	0.02022295	0.002841079	0.277102122	0.06922553	0.19695535	0.628935577
2006-11-22	12:00:00	0.060617695	0.02022295	0.002841079	0.277102122	0.06922553	0.19695535	0.628935577
2006-11-23	12:00:00	0.060617695	0.02022295	0.002841079	0.277102122	0.06922553	0.19695535	0.628935577
2006-11-24	12:00:00	0.060617695	0.02022295	0.002841079	0.277102122	0.06922553	0.19695535	0.628935577
2006-11-25	12:00:00	0.060617695	0.02022295	0.002841079	0.277102122	0.06922553	0.19695535	0.628935577
2006-11-26	12:00:00	0.060617695	0.02022295	0.002841079	0.277102122	0.06922553	0.19695535	0.628935577
2006-11-27	12:00:00	0.060617695	0.02022295	0.002841079	0.277102122	0.06922553	0.19695535	0.628935577
2006-11-28	12:00:00	0.060617695	0.02022295	0.002841079	0.277102122	0.06922553	0.19695535	0.628935577
2006-11-29	12:00:00	0.060617695	0.02022295	0.002841079	0.277102122	0.06922553	0.19695535	0.628935577
2006-11-30	12:00:00	0.060617695	0.02022295	0.002841079	0.277102122	0.06922553	0.19695535	0.628935577
2006-12-01	12:00:00	0.060617695	0.02022295	0.002841079	0.277102122	0.06922553	0.19695535	0.628935577
2006-12-02	12:00:00	0.060617695	0.02022295	0.002841079	0.277102122	0.06922553	0.19695535	0.628935577
2006-12-03	12:00:00	0.060617695	0.02022295	0.002841079	0.277102122	0.06922553	0.19695535	0.628935577
2006-12-04	12:00:00	0.060617695	0.02022295	0.002841079	0.277102122	0.06922553	0.19695535	0.628935577
2006-12-05	12:00:00	0.060617695	0.02022295	0.002841079	0.277102122	0.06922553	0.19695535	0.628935577
2006-12-06	12:00:00	0.060617695	0.02022295	0.002841079	0.277102122	0.06922553	0.19695535	0.628935577
2006-12-07	12:00:00	0.060617695	0.02022295	0.002841079	0.277102122	0.06922553	0.19695535	0.628935577
2006-12-08	12:00:00	0.060617695	0.02022295	0.002841079	0.277102122	0.06922553	0.19695535	0.628935577
2006-12-09	12:00:00	0.060617695	0.02022295	0.002841079	0.277102122	0.06922553	0.19695535	0.628935577
2006-12-10	12:00:00	0.060617695	0.02022295	0.002841079	0.277102122	0.06922553	0.19695535	0.628935577
2006-12-11	12:00:00	0.060617695	0.02022295	0.002841079	0.277102122	0.06922553	0.19695535	0.628935577
2006-12-12	12:00:00	0.060617695	0.02022295	0.002841079	0.277102122	0.06922553	0.19695535	0.628935577
2006-12-13	12:00:00	0.044899706	0.014944671	0.001511682	0.546591466	0.136675969	0.198316241	0.078193045
2006-12-14	12:00:00	0.044899706	0.014944671	0.001511682	0.546591466	0.136675969	0.198316241	0.078193045
2006-12-15	12:00:00	0.044899706	0.014944671	0.001511682	0.546591466	0.136675969	0.198316241	0.078193045
2006-12-16	12:00:00	0.044899706	0.014944671	0.001511682	0.546591466	0.136675969	0.198316241	0.078193045
2006-12-17	12:00:00	0.044899706	0.014944671	0.001511682	0.546591466	0.136675969	0.198316241	0.078193045
2006-12-18	12:00:00	0.044899706	0.014944671	0.001511682	0.546591466	0.136675969	0.198316241	0.078193045
2006-12-19	12:00:00	0.044899706	0.014944671	0.001511682	0.546591466	0.136675969	0.198316241	0.078193045
2006-12-20	12:00:00	0.044899706	0.014944671	0.001511682	0.546591466	0.136675969	0.198316241	0.078193045
2006-12-21	12:00:00	0.044899706	0.014944671	0.001511682	0.546591466	0.136675969	0.198316241	0.078193045
2006-12-22	12:00:00	0.044899706	0.014944671	0.001511682	0.546591466	0.136675969	0.198316241	0.078193045
2006-12-23	12:00:00	0.044899706	0.014944671	0.001511682	0.546591466	0.136675969	0.198316241	0.078193045
2006-12-24	12:00:00	0.044899706	0.014944671	0.001511682	0.546591466	0.136675969	0.198316241	0.078193045
